Promo				A Game of Dice
Promo				A Glimpse of Fate
Promo				A Great Victory
Promo				A Stout Heart
Promo				Akodo Daiken
Promo				Akodo Dairuko, the Steel Lion - exp2
Promo				Aligned with the Elements
Promo				Ambush
Promo				Ancestral Armor of the Crane Clan - exp
Promo				Armed Rice Farmer
Promo				Bamboo Harvesters - exp
Promo				Baraunghar Scouts
Promo				Bayushi Aibako
Promo				Bayushi Nitoshi, the Poison Mask - exp2
Promo				Bisento-do
Promo				Border Keep - exp
Promo				Bounty Hunter
Promo				Brothers of Jade
Promo				Colonial Harbor
Promo				Come One at a Time
Promo				Confusion at Court
Promo				Creating Order
Promo				Daigotsu Hirose
Promo				Daigotsu Kanpeki, the Shadow Emperor - exp3
Promo				Deadly Bisento
Promo				Deeds and Words
Promo				Doji Dainagon
Promo				Doji Makoto, the Smiling Blade - exp
Promo				Elemental Adroitness
Promo				Encircled Terrain
Promo				Enigmatic Pendant
Promo				Entrenched Position
Promo				Fallen
Promo				Family Dojo
Promo				Family Maneuvers
Promo				Family Sensei
Promo				Family Sword
Promo				Feared Duelist
Promo				Focus
Promo				Frost Dragon Festival
Promo				Gaijin Sorcerer
Promo				Gates of the Second City
Promo				General's Hatamoto
Promo				Heavy Cavalry
Promo				Heavy Infantry Dojo
Promo				Hide Iguchi
Promo				Hide Kisada, the Little Bear - exp
Promo				Hidden Weapons
Promo				Horobei
Promo				Horse
Promo				Humble House
Promo				Imminent Victory
Promo				Imperial Dojo
Promo				Imperial Sword
Promo				Inari's Festival
Promo				Isawa Hikarou
Promo				Isawa Shunryu, the Infinite Eye
Promo				It Was a Cat
Promo				Jiramu's Court
Promo				Kabuki Theater Troupe
Promo				Kakita Izumiko
Promo				Kataoka
Promo				Kharmic Strike
Promo				Lantern of Revelation
Promo				Legionnaire's Appointment
Promo				Losing the Way
Promo				Merchant Atoll
Promo				Merchant Guard
Promo				Mirumoto Shikei, the Laughing Dragon - exp
Promo				Mirumoto Tsuda
Promo				Moto Naleesh, the Living Goddess - exp
Promo				Oracle of the Void - exp
Promo				P'an Ku Cultist
Promo				Plague Zombies
Promo				Rice Famer
Promo				Ring of Air
Promo				Ring of Earth
Promo				Ring of Fire
Promo				Ring of the Void
Promo				Ring of Water
Promo				Sacred Temples
Promo				Secrets on the Wind
Promo				Shabura
Promo				Simple Spears
Promo				Skeletal Troops
Promo				Sleep
Promo				Sneak Attack
Promo				Soul's Sacrifice
Promo				Summon Fushicho
Promo				The Amethyst Court
Promo				The Emerald Dojo
Promo				The Eternal Temple of the Phoenix
Promo				The Exquisite Palace of the Crane
Promo				The Fever Breaks
Promo				The Fruitful Port of the Mantis
Promo				The Golden Plains of the Unicorn
Promo				The Honorable Garrison of the Lion
Promo				The Impregnable Fortress of the Crab
Promo				The Ivory Dojo
Promo				The Jade Temple
Promo				The Obsidian Dueling Grounds
Promo				The Onyx Dueling Circle
Promo				The Remote Monastery of the Dragon
Promo				The Ruby Dojo
Promo				The Shadowed Estate of the Scorpion
Promo				The Sinister Citadel of the Spider
Promo				The Topaz Dojo
Promo				The Turquoise Court
Promo				Traveling Market
Promo				Trembling Earth
Promo				Tsuruchi Longbow
Promo				Tsuruchi Nishima
Promo				Unseen Assassins
Promo				Unwelcome Supervision
Promo				Utaku Sang-Ju
Promo				Vengeful Populace
Promo				War
Promo				Wounded in Battle
Promo				Yoritomo Hiromi, the Growing Storm - exp2
Promo				Yozo's Inspiration
